class_id,class_name,precision,recall,f1,support,accuracy,dataset,shot,seed,model_key,model
2,Gravel,0.4665559772296015,0.9438579654510556,0.6244444444444445,2084,0.9438579654510556,pavia_university,5,0,hybridsn_small,HybridSN-small
3,Trees,0.5655480984340044,0.8291243030501804,0.6724298443942014,3049,0.8291243030501804,pavia_university,5,0,hybridsn_small,HybridSN-small
4,Painted metal sheets,0.8619572261827608,1.0,0.9258614688478942,1330,1.0,pavia_university,5,0,hybridsn_small,HybridSN-small
5,Bare Soil,0.8337213169271699,1.0,0.9093217265143272,5014,1.0,pavia_university,5,0,hybridsn_small,HybridSN-small
6,Bitumen,0.9640762463343108,1.0,0.9817095931317656,1315,1.0,pavia_university,5,0,hybridsn_small,HybridSN-small
7,Self-Blocking Bricks,0.4758535290995931,0.733569675484047,0.5772532188841202,3667,0.733569675484047,pavia_university,5,0,hybridsn_small,HybridSN-small
8,Shadows,0.4533060668029993,0.7135193133047211,0.5543976656940391,932,0.7135193133047211,pavia_university,5,0,hybridsn_small,HybridSN-small
0,Asphalt,0.916196189131969,0.7849153567110037,0.8454900683816347,6616,0.7849153567110037,pavia_university,5,1,hybridsn_small,HybridSN-small
1,Meadows,0.9842387442671662,0.8176988300955244,0.8932727539205628,18634,0.8176988300955244,pavia_university,5,1,hybridsn_small,HybridSN-small
2,Gravel,0.4845157657657657,0.8258157389635317,0.6107168204400284,2084,0.8258157389635317,pavia_university,5,1,hybridsn_small,HybridSN-small
3,Trees,0.8210957882966828,0.7225319776976058,0.7686671318911374,3049,0.7225319776976058,pavia_university,5,1,hybridsn_small,HybridSN-small
4,Painted metal sheets,0.940128296507484,0.9917293233082708,0.965239663373582,1330,0.9917293233082708,pavia_university,5,1,hybridsn_small,HybridSN-small
5,Bare Soil,0.7272991006672469,1.0,0.8421229425596238,5014,1.0,pavia_university,5,1,hybridsn_small,HybridSN-small
6,Bitumen,0.7721667645331768,1.0,0.8714380384360504,1315,1.0,pavia_university,5,1,hybridsn_small,HybridSN-small
7,Self-Blocking Bricks,0.6004007123775601,0.735478592855195,0.6611104301997793,3667,0.735478592855195,pavia_university,5,1,hybridsn_small,HybridSN-small
8,Shadows,0.6418300653594772,0.526824034334764,0.5786682380671774,932,0.526824034334764,pavia_university,5,1,hybridsn_small,HybridSN-small
0,Asphalt,0.7457128009700329,0.6506952841596131,0.6949713455484704,6616,0.6506952841596131,pavia_university,5,2,hybridsn_small,HybridSN-small
1,Meadows,0.9915902140672784,0.5568315981539123,0.7131761633101932,18634,0.5568315981539123,pavia_university,5,2,hybridsn_small,HybridSN-small
2,Gravel,0.8777381558838513,0.8267754318618042,0.8514949345193971,2084,0.8267754318618042,pavia_university,5,2,hybridsn_small,HybridSN-small
3,Trees,0.3194551529169879,0.8153492948507708,0.4590527190471793,3049,0.8153492948507708,pavia_university,5,2,hybridsn_small,HybridSN-small
4,Painted metal sheets,0.883736559139785,0.9887218045112782,0.9332860184528036,1330,0.9887218045112782,pavia_university,5,2,hybridsn_small,HybridSN-small
5,Bare Soil,0.5978728792099266,0.9417630634224172,0.7314126394052045,5014,0.9417630634224172,pavia_university,5,2,hybridsn_small,HybridSN-small
6,Bitumen,0.5674955595026643,0.9718631178707224,0.7165685449957948,1315,0.9718631178707224,pavia_university,5,2,hybridsn_small,HybridSN-small
7,Self-Blocking Bricks,0.7998142127264283,0.939187346604854,0.8639157155399473,3667,0.939187346604854,pavia_university,5,2,hybridsn_small,HybridSN-small
8,Shadows,0.7258741258741259,0.5568669527896996,0.6302367941712204,932,0.5568669527896996,pavia_university,5,2,hybridsn_small,HybridSN-small
0,Asphalt,0.5888017118402282,0.748639661426844,0.6591695501730104,6616,0.748639661426844,pavia_university,5,3,hybridsn_small,HybridSN-small
1,Meadows,0.9997120644975526,0.5589782118707739,0.717034385433518,18634,0.5589782118707739,pavia_university,5,3,hybridsn_small,HybridSN-small
2,Gravel,0.9121315192743764,0.7720729366602687,0.8362785862785863,2084,0.7720729366602687,pavia_university,5,3,hybridsn_small,HybridSN-small
3,Trees,0.2951205173427396,0.658576582486061,0.4075915964680808,3049,0.658576582486061,pavia_university,5,3,hybridsn_small,HybridSN-small
4,Painted metal sheets,0.8636363636363636,1.0,0.926829268292683,1330,1.0,pavia_university,5,3,hybridsn_small,HybridSN-small
5,Bare Soil,0.9958250497017892,0.9990027921818908,0.9974113898845082,5014,0.9990027921818908,pavia_university,5,3,hybridsn_small,HybridSN-small
6,Bitumen,0.9798807749627422,1.0,0.9898381633421152,1315,1.0,pavia_university,5,3,hybridsn_small,HybridSN-small
7,Self-Blocking Bricks,0.5478707339172455,0.9893646032178892,0.7052191660997181,3667,0.9893646032178892,pavia_university,5,3,hybridsn_small,HybridSN-small
8,Shadows,0.9322033898305084,0.7081545064377682,0.8048780487804879,932,0.7081545064377682,pavia_university,5,3,hybridsn_small,HybridSN-small
0,Asphalt,0.9347578995226188,0.6215235792019347,0.7466182478438493,6616,0.6215235792019347,pavia_university,5,4,hybridsn_small,HybridSN-small
